"indicatorId","source","date","wardId","value"
34,"Census","2011-03","20734",1653
35,"Census","2011-03","20718",1211
35,"Census","2011-03","20719",1136
35,"Census","2011-03","20720",1120
35,"Census","2011-03","20721",1349
35,"Census","2011-03","20722",1169
35,"Census","2011-03","20723",1038
35,"Census","2011-03","20724",1588
35,"Census","2011-03","20725",1175
35,"Census","2011-03","20726",985
35,"Census","2011-03","20727",2781
35,"Census","2011-03","20728",1416
35,"Census","2011-03","20729",1287
35,"Census","2011-03","20730",890
35,"Census","2011-03","20731",1156
35,"Census","2011-03","20732",2159
35,"Census","2011-03","20733",1574
35,"Census","2011-03","20734",1070
36,"Census","2011-03","20718",465
36,"Census","2011-03","20719",499
36,"Census","2011-03","20720",406
36,"Census","2011-03","20721",551
36,"Census","2011-03","20722",399
36,"Census","2011-03","20723",340
36,"Census","2011-03","20724",473
36,"Census","2011-03","20725",444
36,"Census","2011-03","20726",224
36,"Census","2011-03","20727",336
36,"Census","2011-03","20728",110
36,"Census","2011-03","20729",222
36,"Census","2011-03","20730",255
36,"Census","2011-03","20731",344
36,"Census","2011-03","20732",301
36,"Census","2011-03","20733",649
36,"Census","2011-03","20734",464
49,"Census","2011-03","20718",10504
49,"Census","2011-03","20719",9348
49,"Census","2011-03","20720",9986
49,"Census","2011-03","20721",15313
49,"Census","2011-03","20722",15336
49,"Census","2011-03","20723",10480
49,"Census","2011-03","20724",19036
49,"Census","2011-03","20725",10163
49,"Census","2011-03","20726",12093
49,"Census","2011-03","20727",14724
49,"Census","2011-03","20728",11833
49,"Census","2011-03","20729",17661
49,"Census","2011-03","20730",13249
49,"Census","2011-03","20731",12991
49,"Census","2011-03","20732",14087
49,"Census","2011-03","20733",14767
49,"Census","2011-03","20734",11480
50,"Census","2011-03","20718",8588
50,"Census","2011-03","20719",6977
50,"Census","2011-03","20720",7588
50,"Census","2011-03","20721",7644
50,"Census","2011-03","20722",10326
50,"Census","2011-03","20723",8257
50,"Census","2011-03","20724",7976
50,"Census","2011-03","20725",7808
50,"Census","2011-03","20726",7231
50,"Census","2011-03","20727",8856
50,"Census","2011-03","20728",4582
50,"Census","2011-03","20729",8342
50,"Census","2011-03","20730",6218
50,"Census","2011-03","20731",8287
50,"Census","2011-03","20732",7236
50,"Census","2011-03","20733",9233
50,"Census","2011-03","20734",6328
51,"Census","2011-03","20718",16
51,"Census","2011-03","20719",53
51,"Census","2011-03","20720",33
51,"Census","2011-03","20721",76
51,"Census","2011-03","20722",29
51,"Census","2011-03","20723",54
51,"Census","2011-03","20724",156
51,"Census","2011-03","20725",26
51,"Census","2011-03","20726",100
51,"Census","2011-03","20727",79
51,"Census","2011-03","20728",68
